Category,Product,Unit,Price,Slash Price,Savings,Percent savings,Unit Cost,Details Link,Start URL
Bathroom Roll,Kleenex Bathroom Tissue 30sheets,,33.90,46.00,12.10,26.30,,"<a href=""https://jgsj.jayagrocer.com/products/kleenex-bathroom-tissue-30pcs-pack?variant=46770355765415"" target=""_blank"">Link</a>","<a href=""https://jgsj.jayagrocer.com/collections/bathroom-roll"" target=""_blank"">Start URL</a>"
Bathroom Roll,Kleenex Bathroom Tissue Aloe 3Ply 30sheets,,33.90,46.00,12.10,26.30,,"<a href=""https://jgsj.jayagrocer.com/products/kleenex-bathroom-tissue-aloe-3ply-30pcs-pack?variant=47328472367271"" target=""_blank"">Link</a>","<a href=""https://jgsj.jayagrocer.com/collections/bathroom-roll"" target=""_blank"">Start URL</a>"
Bathroom Roll,Kleenex Clean Care Regular Toilet Tissue 20sheets,,24.90,35.50,10.60,29.90,,"<a href=""https://jgsj.jayagrocer.com/products/kleenex-ultra-soft-toilet-tissue-mega-pack-20rolls-1?variant=41612336595111"" target=""_blank"">Link</a>","<a href=""https://jgsj.jayagrocer.com/collections/bathroom-roll"" target=""_blank"">Start URL</a>"
Bathroom Roll,Kleenex Fresh Scent Toilet Tissues 10rolls,,15.05,,,,,"<a href=""https://jgsj.jayagrocer.com/products/kleenex-fresh-scent-toilet-tissues-10rolls-1?variant=41612390072487"" target=""_blank"">Link</a>","<a href=""https://jgsj.jayagrocer.com/collections/bathroom-roll"" target=""_blank"">Start URL</a>"
Bathroom Roll,Kleenex Fresh Scent Toilet Tissues 20rolls,,21.90,,,,,"<a href=""https://jgsj.jayagrocer.com/products/kleenex-fresh-scent-toilet-tissues-20rolls-1?variant=41622556147879"" target=""_blank"">Link</a>","<a href=""https://jgsj.jayagrocer.com/collections/bathroom-roll"" target=""_blank"">Start URL</a>"
Bathroom Roll,Kleenex Ultra Soft Aroma Clean with Floral Scent 20sheets,,24.90,35.50,10.60,29.90,,"<a href=""https://jgsj.jayagrocer.com/products/kleenex-ultra-soft-scented-toilet-tissue-20rolls-1?variant=41612432769191"" target=""_blank"">Link</a>","<a href=""https://jgsj.jayagrocer.com/collections/bathroom-roll"" target=""_blank"">Start URL</a>"
Bathroom Roll,Kleenex Ultra Soft Aroma Clean with Floral Scent 8+2 rolls,,17.90,,,,,"<a href=""https://jgsj.jayagrocer.com/products/kleenex-ultra-soft-aroma-clean-toilet-tissue-3ply-10rolls-1?variant=41612432965799"" target=""_blank"">Link</a>","<a href=""https://jgsj.jayagrocer.com/collections/bathroom-roll"" target=""_blank"">Start URL</a>"
Bathroom Roll,Onwards Bathroom Tissue 220pcs x 10,220pcs x 10,15.45,,,,,"<a href=""https://jgsj.jayagrocer.com/products/onwards-bathroom-tissue-220sheets-x-10rolls-1?variant=41612412616871"" target=""_blank"">Link</a>","<a href=""https://jgsj.jayagrocer.com/collections/bathroom-roll"" target=""_blank"">Start URL</a>"
Bathroom Roll,Paseo Elegant Toilet Tissue 4ply 200pcs x 10,200pcs x 10,26.80,,,,,"<a href=""https://jgsj.jayagrocer.com/products/paseo-elegant-bathroom-tissue-200sheets-x-10rolls-1?variant=41635402121383"" target=""_blank"">Link</a>","<a href=""https://jgsj.jayagrocer.com/collections/bathroom-roll"" target=""_blank"">Start URL</a>"
Bathroom Roll,"Paseo Xo 3Ply Bathroom Tissue pack, 8pcs",8 pcs,17.30,,,,2.16,"<a href=""https://jgsj.jayagrocer.com/products/paseo-xo-3ply-bathroom-tissue-8pcs-pack?variant=46770358747303"" target=""_blank"">Link</a>","<a href=""https://jgsj.jayagrocer.com/collections/bathroom-roll"" target=""_blank"">Start URL</a>"
Bathroom Roll,Premier Jumbo Roll Tissue 130m x 3,130 m x 3,16.70,,,,5.57,"<a href=""https://jgsj.jayagrocer.com/products/premier-jumbo-roll-tissue-3rolls-1?variant=41611764236455"" target=""_blank"">Link</a>","<a href=""https://jgsj.jayagrocer.com/collections/bathroom-roll"" target=""_blank"">Start URL</a>"
Bathroom Roll,Premier Tissue Rolls 300pcs x 10,300pcs x 10,13.30,,,,,"<a href=""https://jgsj.jayagrocer.com/products/premier-tissue-rolls-300sheets-x-11?variant=41611981815975"" target=""_blank"">Link</a>","<a href=""https://jgsj.jayagrocer.com/collections/bathroom-roll"" target=""_blank"">Start URL</a>"
Bathroom Roll,"Royal Gold Coporate Bathroom Tissue pack, 220pcs",220 pcs,2.50,,,,0.01,"<a href=""https://jgsj.jayagrocer.com/products/royal-gold-corporate-bathroom-tissue-220pcs-pack?variant=44746396041383"" target=""_blank"">Link</a>","<a href=""https://jgsj.jayagrocer.com/collections/bathroom-roll"" target=""_blank"">Start URL</a>"
Bathroom Roll,"Royal Gold Elegant Bathroom Tissue pack, 20pcs",20 pcs,25.99,30.90,4.91,15.90,1.30,"<a href=""https://jgsj.jayagrocer.com/products/royal-gold-luxurious-interleaf-bathroom-tissue-extra-soft-value-pack-20-rolls-1?variant=42524434759847"" target=""_blank"">Link</a>","<a href=""https://jgsj.jayagrocer.com/collections/bathroom-roll"" target=""_blank"">Start URL</a>"
