Category,Product,Unit,Price,Slash Price,Savings,Percent savings,Details Link,Start URL
Groceries,Colgate Plax Fresh Tea 750Ml Value Pack,,39.60,,,,"<a href=""https://vgg.bites.com.my/collections/groceries/products/colgate-plax-fresh-tea-750ml-value-pack"" target=""_blank"">Details</a>","<a href=""https://vgg.bites.com.my/collections/groceries?page=68"" target=""_blank"">Start URL</a>"
Groceries,Colgate Plax Pepper Mint 750Ml Value Pack,,39.60,,,,"<a href=""https://vgg.bites.com.my/collections/groceries/products/colgate-plax-pepper-mint-750ml-value-pack"" target=""_blank"">Details</a>","<a href=""https://vgg.bites.com.my/collections/groceries?page=68"" target=""_blank"">Start URL</a>"
Groceries,Colman English Mustard 170Gm,170 g,14.90,,,,"<a href=""https://vgg.bites.com.my/collections/groceries/products/colman-english-mustard-170gm"" target=""_blank"">Details</a>","<a href=""https://vgg.bites.com.my/collections/groceries?page=43"" target=""_blank"">Start URL</a>"
Groceries,Contadina Pizza Sauce Squeeze 425Gm,425 g,15.10,,,,"<a href=""https://vgg.bites.com.my/collections/groceries/products/contadina-pizza-sauce-squeeze-425gm"" target=""_blank"">Details</a>","<a href=""https://vgg.bites.com.my/collections/groceries?page=43"" target=""_blank"">Start URL</a>"
Groceries,Coo Wholemeal Sandwich 500G,500 g,4.90,,,,"<a href=""https://vgg.bites.com.my/collections/groceries/products/coo-wholemeal-sandwich-500g"" target=""_blank"">Details</a>","<a href=""https://vgg.bites.com.my/collections/groceries?page=88"" target=""_blank"">Start URL</a>"
Groceries,Cook&Co Anchovies Fillets In Sunflower Oil 50G,50 g,15.10,,,,"<a href=""https://vgg.bites.com.my/collections/groceries/products/cook-co-anchovies-fillets-in-sunflower-oil-50g"" target=""_blank"">Details</a>","<a href=""https://vgg.bites.com.my/collections/groceries?page=39"" target=""_blank"">Start URL</a>"
Groceries,Coppola Pesto Genovese Basil 212Ml,212 ml,16.15,,,,"<a href=""https://vgg.bites.com.my/collections/groceries/products/coppola-pesto-genovese-basil-212ml"" target=""_blank"">Details</a>","<a href=""https://vgg.bites.com.my/collections/groceries?page=5"" target=""_blank"">Start URL</a>"
Groceries,Cottage Farm Premium Noodles-Pumpkin Yee Mee 380G,380 g,13.90,,,,"<a href=""https://vgg.bites.com.my/collections/groceries/products/cottage-farm-premium-noodles-pumpkin-yee-mee-380g"" target=""_blank"">Details</a>","<a href=""https://vgg.bites.com.my/collections/groceries?page=43"" target=""_blank"">Start URL</a>"
Groceries,Crying Thaiger Sriracha Hot Chilli Sauce 440Ml,440 ml,14.10,,,,"<a href=""https://vgg.bites.com.my/collections/groceries/products/crying-thaiger-sriracha-hot-chilli-sauce-440ml"" target=""_blank"">Details</a>","<a href=""https://vgg.bites.com.my/collections/groceries?page=62"" target=""_blank"">Start URL</a>"
Groceries,Csr Better Brown Sugar 1Kg,1 kg,5.95,,,,"<a href=""https://vgg.bites.com.my/collections/groceries/products/csr-better-brown-sugar-1kg"" target=""_blank"">Details</a>","<a href=""https://vgg.bites.com.my/collections/groceries"" target=""_blank"">Start URL</a>"
Groceries,Csr Natural Brown Sugar 1Kg,1 kg,5.45,,,,"<a href=""https://vgg.bites.com.my/collections/groceries/products/csr-natural-brown-sugar-1kg"" target=""_blank"">Details</a>","<a href=""https://vgg.bites.com.my/collections/groceries"" target=""_blank"">Start URL</a>"
Groceries,D.Desa Fucuk Campur 40G,40 g,5.10,,,,"<a href=""https://vgg.bites.com.my/collections/groceries/products/d-desa-fucuk-campur-40g"" target=""_blank"">Details</a>","<a href=""https://vgg.bites.com.my/collections/groceries?page=100"" target=""_blank"">Start URL</a>"
Groceries,D/Swallow Garam Halus (Beriodin) 375G,375 g,1.30,,,,"<a href=""https://vgg.bites.com.my/collections/groceries/products/d-swallow-garam-halus-beriodin-375g"" target=""_blank"">Details</a>","<a href=""https://vgg.bites.com.my/collections/groceries?page=42"" target=""_blank"">Start URL</a>"
Groceries,D/Swallow Garam Halus (Beriodin) 450G,450 g,1.35,,,,"<a href=""https://vgg.bites.com.my/collections/groceries/products/d-swallow-garam-halus-beriodin-450g"" target=""_blank"">Details</a>","<a href=""https://vgg.bites.com.my/collections/groceries?page=57"" target=""_blank"">Start URL</a>"
Groceries,D/Swallow Garam Kasar (Beriodin) 350G,350 g,0.95,,,,"<a href=""https://vgg.bites.com.my/collections/groceries/products/d-swallow-garam-kasar-beriodin-350g"" target=""_blank"">Details</a>","<a href=""https://vgg.bites.com.my/collections/groceries?page=6"" target=""_blank"">Start URL</a>"
Groceries,D/Swallow Garam Putih 350G,350 g,0.70,,,,"<a href=""https://vgg.bites.com.my/collections/groceries/products/dswallow-garam-putih-350g"" target=""_blank"">Details</a>","<a href=""https://vgg.bites.com.my/collections/groceries?page=6"" target=""_blank"">Start URL</a>"
Groceries,Daesang Hot Pepper Bean Paste 500G,500 g,20.40,,,,"<a href=""https://vgg.bites.com.my/collections/groceries/products/daesang-hot-pepper-bean-paste-500g"" target=""_blank"">Details</a>","<a href=""https://vgg.bites.com.my/collections/groceries?page=10"" target=""_blank"">Start URL</a>"
Groceries,Daesang Hot Pepper Paste 1Kg,1 kg,32.40,,,,"<a href=""https://vgg.bites.com.my/collections/groceries/products/daesang-hot-pepper-paste-1kg"" target=""_blank"">Details</a>","<a href=""https://vgg.bites.com.my/collections/groceries?page=42"" target=""_blank"">Start URL</a>"
Groceries,Daesang Soy Bean Paste 500G,500 g,13.30,,,,"<a href=""https://vgg.bites.com.my/collections/groceries/products/daesang-soy-bean-paste-500g"" target=""_blank"">Details</a>","<a href=""https://vgg.bites.com.my/collections/groceries?page=78"" target=""_blank"">Start URL</a>"
Groceries,Daisho Sushi Su 360Ml,360 ml,12.45,,,,"<a href=""https://vgg.bites.com.my/collections/groceries/products/daisho-sushi-su-360ml"" target=""_blank"">Details</a>","<a href=""https://vgg.bites.com.my/collections/groceries?page=43"" target=""_blank"">Start URL</a>"
Groceries,Daisy Corn Oil 1Kg,1 kg,16.55,,,,"<a href=""https://vgg.bites.com.my/collections/groceries/products/daisy-corn-oil-1kg"" target=""_blank"">Details</a>","<a href=""https://vgg.bites.com.my/collections/groceries?page=29"" target=""_blank"">Start URL</a>"
Groceries,Daisy Corn Oil 2Kg,2 kg,31.25,,,,"<a href=""https://vgg.bites.com.my/collections/groceries/products/daisy-corn-oil-2kg"" target=""_blank"">Details</a>","<a href=""https://vgg.bites.com.my/collections/groceries?page=29"" target=""_blank"">Start URL</a>"
Groceries,Daisy Corn Oil 500G,500 g,8.95,,,,"<a href=""https://vgg.bites.com.my/collections/groceries/products/daisy-corn-oil-500g"" target=""_blank"">Details</a>","<a href=""https://vgg.bites.com.my/collections/groceries?page=29"" target=""_blank"">Start URL</a>"
