Category,Product,Unit,Price,Slash Price,Savings,Percent savings,Unit Cost,Details Link,Start URL
Bakery,Gardenia Bran And Wheatgerm Bread,400 g,3.50,,,,,"<a href=""https://www.lotuss.com.my/en/product/bran-and-wheatgerm-light-fibremeal-72070021"" target=""_blank"">Details</a>","<a href=""https://www.lotuss.com.my/en/category/bakery"" target=""_blank"">Start URL</a>"
Bakery,Gardenia Delicia Butterscotch,360 g,5.50,,,,,"<a href=""https://www.lotuss.com.my/en/product/delicia-butterscotch-3354148"" target=""_blank"">Details</a>","<a href=""https://www.lotuss.com.my/en/category/bakery"" target=""_blank"">Start URL</a>"
Bakery,Gardenia Delicia Hazelnut Chocolate Spread,375 g,20.70,,,,,"<a href=""https://www.lotuss.com.my/en/product/delicia-hazelnut-chocolate-spread-375g-74490257"" target=""_blank"">Details</a>","<a href=""https://www.lotuss.com.my/en/category/bakery"" target=""_blank"">Start URL</a>"
Bakery,Gardenia Delicia Hazelnut Chocolate Spread,,11.85,,,,,"<a href=""https://www.lotuss.com.my/en/product/delicia-hazelnut-chocolate-spread-71924507"" target=""_blank"">Details</a>","<a href=""https://www.lotuss.com.my/en/category/bakery"" target=""_blank"">Start URL</a>"
Bakery,Gardenia Fluffy Bun Adzuki Red Bean,280 g,4.20,,,,,"<a href=""https://www.lotuss.com.my/en/product/gardenia-fluffy-bun-adzuki-red-bean-280g-73835579"" target=""_blank"">Details</a>","<a href=""https://www.lotuss.com.my/en/category/bakery"" target=""_blank"">Start URL</a>"
Bakery,Gardenia Fluffy Bun Corn Custard,280 g,4.20,,,,,"<a href=""https://www.lotuss.com.my/en/product/gardenia-fluffy-bun-corn-custard-280g-73835560"" target=""_blank"">Details</a>","<a href=""https://www.lotuss.com.my/en/category/bakery"" target=""_blank"">Start URL</a>"
Bakery,Gardenia Fluffy Bun Malty Chocolate,280 g,4.20,,,,,"<a href=""https://www.lotuss.com.my/en/product/gardenia-fluffy-bun-malty-chocolate-280g-73835587"" target=""_blank"">Details</a>","<a href=""https://www.lotuss.com.my/en/category/bakery"" target=""_blank"">Start URL</a>"
Bakery,Gardenia Original Classic,400 g,3.00,,,,,"<a href=""https://www.lotuss.com.my/en/product/original-classic-400g-10650"" target=""_blank"">Details</a>","<a href=""https://www.lotuss.com.my/en/category/bakery"" target=""_blank"">Start URL</a>"
Bakery,Gardenia Original Classic Jumbo,600 g,4.30,,,,,"<a href=""https://www.lotuss.com.my/en/product/original-classic-jumbo-600g-10766"" target=""_blank"">Details</a>","<a href=""https://www.lotuss.com.my/en/category/bakery"" target=""_blank"">Start URL</a>"
Bakery,Gardenia Puazz Kari Ayam,,2.60,,,,,"<a href=""https://www.lotuss.com.my/en/product/puazz-kari-ayam-74619004"" target=""_blank"">Details</a>","<a href=""https://www.lotuss.com.my/en/category/bakery"" target=""_blank"">Start URL</a>"
Bakery,Gardenia Quick Bites Cream Roll - Black Forest,,1.70,,,,,"<a href=""https://www.lotuss.com.my/en/product/quick-bites-cream-roll-blac-74869582"" target=""_blank"">Details</a>","<a href=""https://www.lotuss.com.my/en/category/bakery"" target=""_blank"">Start URL</a>"
Bakery,Gardenia Quick Bites Cream Roll - Salted Caramel,,1.70,,,,,"<a href=""https://www.lotuss.com.my/en/product/quick-bites-cream-roll-salt-74869590"" target=""_blank"">Details</a>","<a href=""https://www.lotuss.com.my/en/category/bakery"" target=""_blank"">Start URL</a>"
Bakery,Gardenia Quick Bites Cream Roll Chocolate,50 g,1.20,,,,,"<a href=""https://www.lotuss.com.my/en/product/quick-bites-cream-roll-chocolate-1368389"" target=""_blank"">Details</a>","<a href=""https://www.lotuss.com.my/en/category/bakery"" target=""_blank"">Start URL</a>"
Bakery,Gardenia Quick Bites Fluffy Bun - Red Bean,,1.50,,,,,"<a href=""https://www.lotuss.com.my/en/product/quick-bites-fluffy-bun-red-bean-3906353"" target=""_blank"">Details</a>","<a href=""https://www.lotuss.com.my/en/category/bakery"" target=""_blank"">Start URL</a>"
Bakery,Gardenia Roll Up Wraps Classic,,5.20,,,,,"<a href=""https://www.lotuss.com.my/en/product/gardenia-roll-up-wraps-classic-74291343"" target=""_blank"">Details</a>","<a href=""https://www.lotuss.com.my/en/category/bakery"" target=""_blank"">Start URL</a>"
Bakery,Gardenia Roll Up Wraps Garlic,,5.20,,,,,"<a href=""https://www.lotuss.com.my/en/product/gardenia-roll-up-wraps-garlic-74291378"" target=""_blank"">Details</a>","<a href=""https://www.lotuss.com.my/en/category/bakery"" target=""_blank"">Start URL</a>"
Bakery,Gardenia Roll Up Wraps Wholemeal,,5.20,,,,,"<a href=""https://www.lotuss.com.my/en/product/gardenia-roll-up-wraps-wholemeal-74291351"" target=""_blank"">Details</a>","<a href=""https://www.lotuss.com.my/en/category/bakery"" target=""_blank"">Start URL</a>"
Bakery,Gardenia Sandwich Bread Rolls (Frankfurter Roll),,3.00,,,,,"<a href=""https://www.lotuss.com.my/en/product/sandwich-bread-rolls-frankfurter-roll-905917"" target=""_blank"">Details</a>","<a href=""https://www.lotuss.com.my/en/category/bakery"" target=""_blank"">Start URL</a>"
Bakery,Gardenia Sommerset Cottage Multi Grain And Seeds,300 g,5.50,,,,,"<a href=""https://www.lotuss.com.my/en/product/sommerset-cottage-multigrain-and-seeds-72070056"" target=""_blank"">Details</a>","<a href=""https://www.lotuss.com.my/en/category/bakery"" target=""_blank"">Start URL</a>"
Bakery,Gardenia Squiggles - Choco Malto,,1.60,,,,,"<a href=""https://www.lotuss.com.my/en/product/1368435"" target=""_blank"">Details</a>","<a href=""https://www.lotuss.com.my/en/category/bakery"" target=""_blank"">Start URL</a>"
Bakery,Gardenia Squiggles - Funky Strawberry,,1.60,,,,,"<a href=""https://www.lotuss.com.my/en/product/squiggles-funky-strawberry-1368427"" target=""_blank"">Details</a>","<a href=""https://www.lotuss.com.my/en/category/bakery"" target=""_blank"">Start URL</a>"
