Category,Product,Unit,Price,Slash Price,Savings,Percent savings,Details Link,Start URL
Beverages,Ah Huat White Coffee Low Fat N/Sugar 15X20G,15 x 20 g,22.60,,,,https://vgg.bites.com.my/collections/beverages/products/ah-huat-white-coffee-low-fat-n-sugar-15x20g,https://vgg.bites.com.my/collections/beverages
Beverages,Ah Huat White Coffee Low Fat N/Sugar 15X20Gm,15 x 20 g,18.00,,,,https://vgg.bites.com.my/collections/beverages/products/ah-huat-white-coffee-low-fat-nsugar-15x20gm,https://vgg.bites.com.my/collections/beverages
Beverages,Ah Huat White Coffee Low Fat No Sugar 15X20G,15 x 20 g,18.00,,,,https://vgg.bites.com.my/collections/beverages/products/ah-huat-white-coffee-low-fat-no-sugar-15x20g,https://vgg.bites.com.my/collections/beverages
Beverages,Ahmad Tea Camomile&Lemongrass 20S,20 pcs,11.99,13.00,1.01,7.80,https://vgg.bites.com.my/collections/beverages/products/ahmad-tea-camomile-lemongrass-20s,https://vgg.bites.com.my/collections/beverages
Beverages,Ahmad Tea Ceylon 20Tb,,12.10,,,,https://vgg.bites.com.my/collections/beverages/products/ahmad-tea-ceylon-20tb,https://vgg.bites.com.my/collections/beverages
Beverages,Ahmad Tea Cold Brew Lemon And Lime 20Tb,,14.50,,,,https://vgg.bites.com.my/collections/beverages/products/ahmad-tea-cold-brew-lemon-and-lime-20tb,https://vgg.bites.com.my/collections/beverages
Beverages,Ahmad Tea Cold Brew Mango & Lychee 20S,20 pcs,14.50,,,,https://vgg.bites.com.my/collections/beverages/products/ahmad-tea-cold-brew-mango-lychee-20s,https://vgg.bites.com.my/collections/beverages
Beverages,Ahmad Tea Detox 20S,20 pcs,11.99,13.00,1.01,7.80,https://vgg.bites.com.my/collections/beverages/products/ahmad-tea-detox-20s,https://vgg.bites.com.my/collections/beverages
Beverages,Ahmad Tea Earl Grey 100S,100 pcs,21.49,22.95,1.46,6.40,https://vgg.bites.com.my/collections/beverages/products/ahmad-tea-earl-grey-100s,https://vgg.bites.com.my/collections/beverages
Beverages,Ahmad Tea Earl Grey 20X40G,20 x 40 g,13.55,,,,https://vgg.bites.com.my/collections/beverages/products/ahmad-tea-earl-grey-20x40g,https://vgg.bites.com.my/collections/beverages
Beverages,Ahmad Tea Eng Breakfast 25Tb,,7.00,,,,https://vgg.bites.com.my/collections/beverages/products/ahmad-tea-eng-breakfast-25tb,https://vgg.bites.com.my/collections/beverages
