Category,Product,Unit,Price,Slash Price,Savings,Percent savings,Unit Cost,Cost per 100g/ml,Details Link,Start URL
Beverage,Aik Cheong 2 In 1 White Coffee Kosong,12 x 30 g,12.99,14.99,2.00,13.30,1.08,3.61,https://myaeon2go.com/product/20995/2-in-1-white-coffee-kosong,https://myaeon2go.com/products/category/4995043/beverage/pages/1-15
Beverage,Aik Cheong Black DIP Arabica Dark Roast Coffee,5 x 10 g,19.49,,,,3.90,38.98,https://myaeon2go.com/product/26705/black-dip-arabica-dark-roast-coffee,https://myaeon2go.com/products/category/4995043/beverage/pages/1-15
Beverage,Aik Cheong Black DIP Arabica Medium Roast Coffee,5 x 10 g,19.49,,,,3.90,38.98,https://myaeon2go.com/product/26674/black-dip-arabica-medium-roast-coffee,https://myaeon2go.com/products/category/4995043/beverage/pages/1-15
Beverage,Aik Cheong Black Drip Colombia Medellin,5 x 10 g,19.49,,,,3.90,38.98,https://myaeon2go.com/product/32620/black-drip-colombia-medellin,https://myaeon2go.com/products/category/4995043/beverage/pages/1-15
Beverage,Aik Cheong Black Drip Ethiopia Yirgacheffe,5 x 10 g,19.49,,,,3.90,38.98,https://myaeon2go.com/product/32595/black-drip-ethiopia-yirgacheffe,https://myaeon2go.com/products/category/4995043/beverage/pages/1-15
Beverage,Aik Cheong Black Drip Guatemala Huehuetenango,5 x 10 g,19.49,,,,3.90,38.98,https://myaeon2go.com/product/32594/black-drip-guatemala-huehuetenango,https://myaeon2go.com/products/category/4995043/beverage/pages/1-15
Beverage,Aik Cheong Black Drip Nicaragua Jinotega,5 x 10 g,19.49,,,,3.90,38.98,https://myaeon2go.com/product/32621/black-drip-nicaragua-jinotega,https://myaeon2go.com/products/category/4995043/beverage/pages/1-15
Beverage,Aik Cheong Cafe Art 3 In 1 Caffe Latte,12 x 25 g,12.99,14.99,2.00,13.30,1.08,4.33,https://myaeon2go.com/product/20877/cafe-art-3-in-1-caffe-latte,https://myaeon2go.com/products/category/4995043/beverage/pages/1-15
Beverage,Aik Cheong Cafe Art 3 In 1 Cappuccino,12 x 25 g,12.99,14.99,2.00,13.30,1.08,4.33,https://myaeon2go.com/product/20931/cafe-art-3-in-1-cappuccino,https://myaeon2go.com/products/category/4995043/beverage/pages/1-15
Beverage,Aik Cheong Cafe Art 3 In 1 Chocolate,12 x 40 g,12.59,14.99,2.40,16.00,1.05,2.62,https://myaeon2go.com/product/141/cafe-art-3-in-1-chocolate,https://myaeon2go.com/products/category/4995043/beverage/pages/1-15
Beverage,Aik Cheong Cafe Art 3 In 1 Matcha Latte,12 x 25 g,12.99,14.99,2.00,13.30,1.08,4.33,https://myaeon2go.com/product/864/cafe-art-3-in-1-matcha-latte,https://myaeon2go.com/products/category/4995043/beverage/pages/1-15
Beverage,Aik Cheong Cafe Art 3 In 1 Mocha,12 x 25 g,12.99,14.99,2.00,13.30,1.08,4.33,https://myaeon2go.com/product/26366/cafe-art-3-in-1-mocha,https://myaeon2go.com/products/category/4995043/beverage/pages/1-15
Beverage,Aik Cheong Cafe Art Caramel Macchiato,300 g,14.99,,,,,5.00,https://myaeon2go.com/product/42577/cafe-art-caramel-macchiato,https://myaeon2go.com/products/category/4995043/beverage/pages/1-15
Beverage,Aik Cheong Cafe Art Chocolate,1 kg,23.90,,,,,,https://myaeon2go.com/product/43527/cafe-art-chocolate,https://myaeon2go.com/products/category/4995043/beverage/pages/1-15
Beverage,Aik Cheong Cafe Art Chocolate Hazelnut,456 g,12.59,14.99,2.40,16.00,,2.76,https://myaeon2go.com/product/42579/cafe-art-chocolate-hazelnut,https://myaeon2go.com/products/category/4995043/beverage/pages/1-15
Beverage,Aik Cheong Cafe Art Chocolate Kosong,420 g,12.59,14.99,2.40,16.00,,3.00,https://myaeon2go.com/product/42580/cafe-art-chocolate-kosong,https://myaeon2go.com/products/category/4995043/beverage/pages/1-15
Beverage,Aik Cheong Cafe Art Chocolate Mint,456 g,12.59,14.99,2.40,16.00,,2.76,https://myaeon2go.com/product/42578/cafe-art-chocolate-mint,https://myaeon2go.com/products/category/4995043/beverage/pages/1-15
